"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: K"
"lab.jvm.serialization.SerializationBench.readAnalytics:gc.time","thrpt",1,12,45.000000,NaN,"ms",
"lab.jvm.serialization.SerializationBench.readConfigMap","thrpt",1,12,66051.534571,1468.746615,"ops/s",
"lab.jvm.serialization.SerializationBench.readConfigMap:gc.alloc.rate","thrpt",1,12,822.272196,18.279372,"MB/sec",
"lab.jvm.serialization.SerializationBench.readConfigMap:gc.alloc.rate.norm","thrpt",1,12,13056.106519,0.002223,"B/op",
"lab.jvm.serialization.SerializationBench.readConfigMap:gc.count","thrpt",1,12,66.000000,NaN,"counts",
"lab.jvm.serialization.SerializationBench.readConfigMap:gc.time","thrpt",1,12,35.000000,NaN,"ms",
"lab.jvm.serialization.SerializationBench.readCustomer","thrpt",1,12,335219.326341,7659.531748,"ops/s",
"lab.jvm.serialization.SerializationBench.readCustomer:gc.alloc.rate","thrpt",1,12,1495.829846,34.166273,"MB/sec",
"lab.jvm.serialization.SerializationBench.readCustomer:gc.alloc.rate.norm","thrpt",1,12,4680.020926,0.000461,"B/op",
"lab.jvm.serialization.SerializationBench.readCustomer:gc.count","thrpt",1,12,100.000000,NaN,"counts",
"lab.jvm.serialization.SerializationBench.readCustomer:gc.time","thrpt",1,12,50.000000,NaN,"ms",
"lab.jvm.serialization.SerializationBench.readDerived","thrpt",1,12,312093.234468,6613.598755,"ops/s",
"lab.jvm.serialization.SerializationBench.readDerived:gc.alloc.rate","thrpt",1,12,1271.238509,26.958868,"MB/sec",
"lab.jvm.serialization.SerializationBench.readDerived:gc.alloc.rate.norm","thrpt",1,12,4272.022518,0.000481,"B/op",
"lab.jvm.serialization.SerializationBench.readDerived:gc.count","thrpt",1,12,104.000000,NaN,"counts",
"lab.jvm.serialization.SerializationBench.readDerived:gc.time","thrpt",1,12,54.000000,NaN,"ms",
"lab.jvm.serialization.SerializationBench.readEnumHolder","thrpt",1,12,255560.219541,6167.855785,"ops/s",
"lab.jvm.serialization.SerializationBench.readEnumHolder:gc.alloc.rate","thrpt",1,12,1033.208505,28.963512,"MB/sec",
"lab.jvm.serialization.SerializationBench.readEnumHolder:gc.alloc.rate.norm","thrpt",1,12,4240.027494,32.106952,"B/op",
"lab.jvm.serialization.SerializationBench.readEnumHolder:gc.count","thrpt",1,12,83.000000,NaN,"counts",
"lab.jvm.serialization.SerializationBench.readEnumHolder:gc.time","thrpt",1,12,42.000000,NaN,"ms",
"lab.jvm.serialization.SerializationBench.readGraph","thrpt",1,12,208005.810109,5778.610664,"ops/s",
"lab.jvm.serialization.SerializationBench.readGraph:gc.alloc.rate","thrpt",1,12,1124.890537,31.340660,"MB/sec",
"lab.jvm.serialization.SerializationBench.readGraph:gc.alloc.rate.norm","thrpt",1,12,5672.033836,0.000931,"B/op",
"lab.jvm.serialization.SerializationBench.readGraph:gc.count","thrpt",1,12,91.000000,NaN,"counts",
"lab.jvm.serialization.SerializationBench.readGraph:gc.time","thrpt",1,12,43.000000,NaN,"ms",
"lab.jvm.serialization.SerializationBench.readMixedArray","thrpt",1,12,73407.168280,2097.341026,"ops/s",
"lab.jvm.serialization.SerializationBench.readMixedArray:gc.alloc.rate","thrpt",1,12,796.227405,22.764187,"MB/sec",
"lab.jvm.serialization.SerializationBench.readMixedArray:gc.alloc.rate.norm","thrpt",1,12,11376.096048,0.002825,"B/op",
"lab.jvm.serialization.SerializationBench.readMixedArray:gc.count","thrpt",1,12,65.000000,NaN,"counts",
"lab.jvm.serialization.SerializationBench.readMixedArray:gc.time","thrpt",1,12,41.000000,NaN,"ms",
"lab.jvm.serialization.SerializationBench.readOrder","thrpt",1,12,93318.308806,2605.107759,"ops/s",
"lab.jvm.serialization.SerializationBench.readOrder:gc.alloc.rate","thrpt",1,12,910.419715,25.455711,"MB/sec",
